parameters,parameters,Test,Test,Test,Test
Dataset,KG pool,Avg MRR,min ranks,Diff of avg MRR,Rel diff of avg MRR
nell_v4_ind,original_BytE,0.422809361035884,1.0,,
nell_v4_ind,Custom,0.2470611972560477,2.0,-0.17574816377983632,-0.4156676270110313
nell_v3_ind,original_BytE,0.4621860710208174,1.0,,
nell_v3_ind,Custom,0.236933348818688,2.0,-0.22525272220212939,-0.487363718479486
nell_v2_ind,original_BytE,0.46817204752230634,1.0,,
nell_v2_ind,Custom,0.4535980955871837,2.0,-0.01457395193512262,-0.031129479028600526
nell_v1_ind,original_BytE,0.6223078425703797,2.0,,
nell_v1_ind,Custom,0.6945790303235051,1.0,0.07227118775312535,0.11613414263689248
fb237_v4_ind_uslabeled,original_BytE,0.25889184708368335,2.0,,
fb237_v4_ind_uslabeled,Custom,0.3341379587236794,1.0,0.07524611163999606,0.2906468955574091
fb237_v3_ind_uslabeled,original_BytE,0.26090964641579634,1.0,,
fb237_v3_ind_uslabeled,Custom,0.14443302488631235,2.0,-0.11647662152948399,-0.4464251250559822
fb237_v2_ind_uslabeled,original_BytE,0.3045979524354727,2.0,,
fb237_v2_ind_uslabeled,Custom,0.36949596102829235,1.0,0.06489800859281963,0.21306121093039154
fb237_v1_ind_uslabeled,original_BytE,0.212110839484277,1.0,,
fb237_v1_ind_uslabeled,Custom,0.14421625107081734,2.0,-0.06789458841345966,-0.3200901405064329
WN18RR_v4_ind_labeled,original_BytE,0.025854072207986672,2.0,,
WN18RR_v4_ind_labeled,Custom,0.4840513693233577,1.0,0.458197297115371,17.72244207524986
WN18RR_v3_ind_labeled,original_BytE,0.30265136363801,1.0,,
WN18RR_v3_ind_labeled,Custom,0.29807792349262735,2.0,-0.0045734401453826345,-0.015111249096675938
WN18RR_v2_ind_labeled,original_BytE,0.49804966472177137,1.0,,
WN18RR_v2_ind_labeled,Custom,0.079103730910472,2.0,-0.41894593381129935,-0.8411730064015559
WN18RR_v1_ind_labeled,original_BytE,0.41269013456014275,2.0,,
WN18RR_v1_ind_labeled,Custom,0.6072839255129957,1.0,0.19459379095285295,0.4715251823508133
WK-75_uslabeled,original_BytE,0.00041819237554733337,2.0,,
WK-75_uslabeled,Custom,0.0008375353924123335,1.0,0.0004193430168650001,1.0027514641226078
WK-50_uslabeled,original_BytE,0.00043468033480833335,2.0,,
WK-50_uslabeled,Custom,0.0005088518339203333,1.0,7.417149911199999e-05,0.1706345863212444
WK-25_uslabeled,original_BytE,0.0004217880202336667,2.0,,
WK-25_uslabeled,Custom,0.0005365812390860001,1.0,0.00011479321885233336,0.27215855677631384
WK-100_uslabeled,original_BytE,0.00020412036608033336,2.0,,
WK-100_uslabeled,Custom,0.0003514964570313333,1.0,0.00014737609095099997,0.7220058134375422
NL-75,original_BytE,0.0015095998460796668,2.0,,
NL-75,Custom,0.003603227119024,1.0,0.002093627272944333,1.386875653426534
NL-50,original_BytE,0.003244669105244667,2.0,,
NL-50,Custom,0.005547009442213667,1.0,0.002302340336969,0.7095763118795406
NL-25,original_BytE,0.0031657350137176666,2.0,,
NL-25,Custom,0.011077955430686001,1.0,0.007912220416968334,2.4993312398805783
NL-100,original_BytE,0.000998249733224,2.0,,
NL-100,Custom,0.003449859206762334,1.0,0.002451609473538334,2.4559079676590407
NL-0,original_BytE,0.002005500485342,2.0,,
NL-0,Custom,0.005231405937494001,1.0,0.0032259054521520006,1.608528881309088
FB-75_uslabeled,original_BytE,0.0011584154275956667,1.0,,
FB-75_uslabeled,Custom,0.0008544071064346667,2.0,-0.00030400832116099996,-0.2624346274392946
FB-50_uslabeled,original_BytE,0.0005163203088256667,2.0,,
FB-50_uslabeled,Custom,0.0010743497033116668,1.0,0.0005580293944860001,1.0807814160074347
FB-25_uslabeled,original_BytE,0.0011411286046653334,2.0,,
FB-25_uslabeled,Custom,0.0043373805666246665,1.0,0.003196251961959333,2.8009568324656273
FB-100_uslabeled,original_BytE,0.0017246662936256669,1.0,,
FB-100_uslabeled,Custom,0.0013487451021676668,2.0,-0.00037592119145800004,-0.21796749484082656
