parameters,parameters,parameters,Test
Dataset,KG pool,Model,Avg MRR
WN18RR_labeled,original_BytE,ComplEx_None,0.0057242796357395
WK-50_uslabeled,Custom,ComplEx_asc_rank,0.0003256232217243333
WK-50_uslabeled,Custom,ComplEx_asc_size,0.0003256232217243333
WK-50_uslabeled,Custom,ComplEx_desc_rank,0.0003256232217243333
WK-50_uslabeled,Custom,ComplEx_desc_size,0.0003256232217243333
WK-50_uslabeled,Custom,ComplEx_last_first,0.0003256232217243333
WK-50_uslabeled,original_BytE,ComplEx_,0.00030303542120133336
WK-100_uslabeled,original_BytE,ComplEx_asc_rank,0.00035634992449600004
WK-100_uslabeled,original_BytE,ComplEx_asc_size,0.00035634992449600004
WK-100_uslabeled,original_BytE,ComplEx_desc_rank,0.00035634992449600004
WK-100_uslabeled,original_BytE,ComplEx_desc_size,0.00035634992449600004
WK-100_uslabeled,original_BytE,ComplEx_last_first,0.00035634992449600004
WK-100_uslabeled,Custom,ComplEx_asc_rank,0.000250456536785
WK-100_uslabeled,Custom,ComplEx_asc_size,0.000250456536785
WK-100_uslabeled,Custom,ComplEx_desc_rank,0.000250456536785
WK-100_uslabeled,Custom,ComplEx_desc_size,0.000250456536785
WK-100_uslabeled,Custom,ComplEx_last_first,0.000250456536785
NL-75,original_BytE,ComplEx_asc_rank,0.0027874111295840003
NL-75,Custom,ComplEx_asc_rank,0.0026339268550183335
NL-75,Custom,ComplEx_asc_size,0.0026339268550183335
NL-75,Custom,ComplEx_desc_rank,0.0026339268550183335
NL-75,Custom,ComplEx_desc_size,0.0026339268550183335
NL-0,Custom,ComplEx_asc_rank,0.0020285844826243332
NL-0,Custom,ComplEx_asc_size,0.0020285844826243332
NL-0,Custom,ComplEx_desc_rank,0.0020285844826243332
NL-0,Custom,ComplEx_desc_size,0.0020285844826243332
FB-75_uslabeled,Custom,ComplEx_None,0.0007489950973320001
FB-75_uslabeled,original_BytE,ComplEx_,0.000395780181988
