,parameters,parameters,parameters,parameters,parameters,parameters,parameters,parameters,parameters,parameters,parameters,parameters,parameters,parameters,parameters,parameters,parameters,parameters,parameters,Train,Train,Train,Train,Val,Val,Val,Val,Test,Test,Test,Test
,KG_path,training_KG,KG_pool,corpus_input,tie_breaker,forced_truncation,bpe_truncation,bpe_with_RNN,multiple_bpe_encodings,multiple_bpe_loss,model,embedding_dim,lr,num_epochs,min_epochs,vocab_size,fix_missing,exp_root,base_seed,Train_H@1,Train_H@3,Train_H@10,Train_MRR,Val_H@1,Val_H@3,Val_H@10,Val_MRR,Test_H@1,Test_H@3,Test_H@10,Test_MRR
11,KGs,NELL-995-h25,KG-pretrained,VandR,descending_size,100,None,Linear,1,False,Keci,16,0.1,100,100,2.0,0,automated_scripts/vocab_exploration,10,0.00016718589440300002,0.0007217537392550001,0.00333148477385,0.002003243456894,0.000271916467261,0.0007069828148790001,0.004187513595823001,0.002127242567644,0.00016327419179200002,0.000707521497768,0.0033743332970500002,0.002010188135571
4,KGs,NELL-995-h25,KG-custom,E,descending_size,100,None,Linear,1,False,Keci,16,0.1,100,100,1.0,0,automated_scripts/vocab_exploration,10,0.00430197850234,0.008828230765466,0.017603451369293,0.009149686519405,0.0034261474874910003,0.008320643898194001,0.015172938873178,0.007998884876964001,0.003319908566452,0.007946010667247,0.015021225644933002,0.00776453646127
6,KGs,NELL-995-h25,KG-pretrained,VandR,descending_size,100,None,Linear,1,False,ComplEx,16,0.1,100,100,2.0,1,automated_scripts/vocab_exploration,10,0.004726059795462,0.008563179957265,0.015780717349818,0.009150040857661001,0.004459430063084,0.007939960844028001,0.014846639112464002,0.008705453510048,0.004898225753782,0.00854468270382,0.014585827800152001,0.008847470929215001
8,KGs,NELL-995-h25,KG-pretrained,VandR,descending_size,100,None,Linear,1,False,ComplEx,32,0.1,100,100,2.0,1,automated_scripts/vocab_exploration,10,0.005855584008873,0.008302206853806001,0.015931592425255003,0.009578519947156,0.005710245812486,0.007885577550576001,0.015336088753534002,0.009206741784958,0.005333623598563,0.007782736475454001,0.015456623489713002,0.008989159312055
7,KGs,NELL-995-h25,KG-pretrained,VandR,descending_size,100,None,Linear,1,False,ComplEx,32,0.01,100,100,2.0,1,automated_scripts/vocab_exploration,10,0.0029155588902110004,0.009040271412027,0.017913356929651,0.009367369686107001,0.0028823145529690004,0.008592560365455,0.01859908636067,0.00947779308513,0.002830085991074,0.00832698378143,0.017470338521824003,0.009050241680784001
10,KGs,NELL-995-h25,KG-pretrained,VandR,descending_size,100,None,Linear,1,False,ComplEx,64,0.1,100,100,2.0,1,automated_scripts/vocab_exploration,10,0.0064386957869150005,0.013260695819537,0.023585444225154,0.012831166353223001,0.006471611920817,0.012780073961279,0.023112899717206002,0.012552362502115002,0.005333623598563,0.011646892347882002,0.021824316969631,0.011389689934066001
3,KGs,NELL-995-h25,KG-custom,E,descending_size,100,None,Linear,1,False,ComplEx,64,0.1,100,100,1.0,1,automated_scripts/vocab_exploration,10,0.010275815948718,0.022582328858731,0.040862679215123,0.020931209296768002,0.010713508810093001,0.021481400913639002,0.039427887752882,0.020661489816756,0.009415478393381001,0.020844671818874002,0.038859257646674,0.019566014837899
1,KGs,NELL-995-h25,KG-custom,E,descending_size,100,None,Linear,1,False,ComplEx,32,0.1,100,100,1.0,1,automated_scripts/vocab_exploration,10,0.014108858405780002,0.027202368330913003,0.047236131726173004,0.025810807471197003,0.011094191864259001,0.023493582771372003,0.040406787035022006,0.021462443500167003,0.011102645041907002,0.023293784695765003,0.043267660825078005,0.022103125973916
2,KGs,NELL-995-h25,KG-custom,E,descending_size,100,None,Linear,1,False,ComplEx,64,0.01,100,100,1.0,0,automated_scripts/vocab_exploration,10,0.015674697026537,0.027239067673587,0.042090068342331005,0.024978328617728,0.015553621927343001,0.027191646726125004,0.041711986077876004,0.024769062498526003,0.013878306302383,0.026178295417437002,0.039730053336235006,0.023232551321834
5,KGs,NELL-995-h25,KG-pretrained,VandR,descending_size,100,None,Linear,1,False,ComplEx,16,0.01,100,100,2.0,1,automated_scripts/vocab_exploration,10,0.020494544031055002,0.037111190852892,0.066287168278719,0.037022901988954006,0.019795518816619003,0.036219273439199,0.068196649989123,0.036535710736533,0.019157505170349,0.034995101774246,0.065690649831283,0.035631139675614
0,KGs,NELL-995-h25,KG-custom,E,descending_size,100,None,Linear,1,False,ComplEx,16,0.1,100,100,1.0,1,automated_scripts/vocab_exploration,10,0.082084196447503,0.14344141969368202,0.216399712929586,0.12877885987356702,0.075157711551011,0.13068305416576,0.19893408744833502,0.11814047120315702,0.075269402416458,0.131544573854359,0.201371503211059,0.11829180547471901
9,KGs,NELL-995-h25,KG-pretrained,VandR,descending_size,100,None,Linear,1,False,ComplEx,64,0.01,100,100,2.0,0,automated_scripts/vocab_exploration,10,0.125169224746774,0.18810451972793502,0.26557275440799805,0.17362006073070801,0.120350228409832,0.182347182945399,0.259353926473787,0.16787383721812402,0.12251006857516,0.17992815935561102,0.25617720692282503,0.16810836747374802
